,pi1_from_tau_pt,pi1_from_tau_eta,pi1_from_tau_phi,pi2_from_tau_pt,pi2_from_tau_eta,pi2_from_tau_phi,pi3_from_tau_pt,pi3_from_tau_eta,pi3_from_tau_phi,neutrino_from_tau_pt,neutrino_from_tau_eta,neutrino_from_tau_phi,tau_no_neutrino_mass,tau_with_neutrino_mass
250,4.4765625,-2.4622943401336697,-0.49112608429024773,2.48046875,-2.413953065872192,-0.27871548807339036,4.15234375,-2.4269540309906006,-0.34327456107368576,3.3943231105804443,-2.3842182159423846,-0.5895552635192871,1.0891776412747871,1.780786026028734
251,0.677734375,-0.0,-0.260059920347406,1.7412109375,0.3889278769493103,0.2333999515589289,1.0830078125,0.41163367033004766,-0.6869260497690776,0.11728234589099884,-0.6135903000831604,0.7887099981307983,1.5537544246445523,1.7867078637104594
252,2.40625,0.28510391712188726,-1.242123717580519,0.9096679687499999,0.23566393554210655,-0.8301123407213973,4.1796875,0.41291543841362005,-1.0038415908991756,2.6773087978363037,0.5105364322662355,-0.901191234588623,1.2643305760397299,1.7859321517560407
253,1.5185546875000002,-0.08276619762182233,-2.980175488910497,1.0458984375,-0.8239997625350952,-2.937482794833776,0.51953125,-0.5495162606239319,-2.836615152513846,1.0443463325500488,-0.16140462458133706,2.737070083618164,1.1664629419789578,1.7778027853998297
254,3.05078125,1.173375606536865,-0.2743215736201082,2.859375,1.2744529247283936,-0.3375069021592343,1.4150390625,1.4403516054153447,-0.38857917259197894,0.6978997588157654,1.8783457279205336,-0.524406373500824,0.8931948059837332,1.759018196973675
255,14.9453125,-2.170049190521241,1.141733350576808,3.2656250000000004,-2.064943313598633,1.2578538759131208,2.685546875,-2.1235389709472656,1.2360765343856845,2.1242642402648926,-2.013689041137694,1.2599204778671265,1.4105478810268208,1.824507329138574
256,0.6279296874999999,-0.6665242314338685,-0.8008972476041469,0.6982421874999999,0.019592883065342875,0.18077405711956726,0.6953124999999999,-0.14777062833309174,-0.061616186888416496,1.4162412881851196,-0.15711387991905224,-0.9385895133018494,1.0810431920228432,1.8415203569547618
257,1.1630859375,0.7934201955795287,2.7502707915942595,5.03125,1.1805169582366943,2.6782088616768043,1.2333984375,0.9058504104614257,2.7586858773401475,0.9984359145164489,1.3451805114746094,2.9673943519592285,1.3270000379811822,1.7546676543214406
258,2.6484375000000004,-1.6414074897766113,-0.26201603622562775,0.6567382812499999,-1.1385844945907595,-0.04501449446178725,0.340576171875,-1.3145543336868286,-0.853935647112306,0.10797785222530366,-0.06066368520259861,-1.4809627532958984,1.2276781445032106,1.7483647566955975
259,1.599609375,0.28510391712188726,2.568626974336388,1.4248046875000002,-0.12561418116092682,2.4243971702282914,1.646484375,-0.12561418116092682,2.459163159848962,2.5509181022644043,-0.32628062367439276,2.5395450592041016,1.0473133433929693,1.778740600483118
260,0.8789062500000001,-1.6130253076553347,2.327521086001078,0.493408203125,-1.7893612384796138,2.029949715284533,4.046875,-1.9631336927413932,2.168330459999764,0.724169135093689,-2.3101382255554204,1.627697467803955,1.04688437807931,1.774365065891279
261,3.0996093749999996,0.844325065612793,-3.0725514376231056,5.41796875,0.6776940226554871,-3.0736270999289608,1.1298828125,0.7575304508209227,-2.910644591487276,9.220038414001465,0.8450629115104678,-3.0108261108398438,1.0209102872106854,1.7876870442072628
262,2.125,-1.1515854597091677,2.521263772038848,0.74853515625,-1.2479017972946167,2.712477764860225,7.691406250000001,-0.9444868564605713,2.583771544834756,4.557287216186523,-0.9310799837112429,2.7349817752838135,1.3449835855415688,2.003278169991552
263,0.5205078125,0.1362346261739731,2.065780563199364,2.533203125,0.6883144378662109,1.8720259261737866,3.1171875000000004,0.5431073904037474,1.863530363929,4.871370315551758,0.4128425419330598,1.8284610509872437,1.1464886873389395,1.77384289914609
264,1.4013671875,0.6861171126365662,3.08496456849368,0.1624755859375,0.07617419958114628,1.94195219154284,0.38330078124999994,0.8285775184631348,-1.8481070281217433,0.20422787964344025,0.1547820568084717,-0.8310834765434265,1.354408125090324,1.780243356527337
265,0.669921875,-0.3393047749996186,-0.22070331791939074,0.41357421875,-0.5264443159103392,-0.22920216548037922,2.5078125,0.001647999510169009,-0.17354433738183,2.7353353500366215,-0.4220944941043854,-0.48572793602943415,0.8871998898028824,1.7749324995159073
266,1.2451171875,-1.0226752758026123,2.3310360664143355,2.19921875,-0.9721366167068481,2.480833142909017,0.467529296875,-0.617633581161499,3.023534333845241,1.6196353435516357,-0.8196983933448794,2.003750801086426,1.0724133602123391,1.7853801067744186
267,0.57763671875,0.6526077985763549,-1.5430214788251084,0.3369140625,1.8259834051132204,-2.081316661935128,0.7973632812500001,0.8875392675399777,-2.5810436394206846,1.2955043315887451,0.9311835765838625,-2.793856382369995,1.1557675753102252,1.7811253444385913
