,gen_pi1_from_tau_pt,gen_pi1_from_tau_eta,gen_pi1_from_tau_phi,gen_pi2_from_tau_pt,gen_pi2_from_tau_eta,gen_pi2_from_tau_phi,gen_pi3_from_tau_pt,gen_pi3_from_tau_eta,gen_pi3_from_tau_phi,gen_tau_pt,gen_tau_eta,gen_tau_phi
876,3.398642063140869,2.145174741744995,-0.6368202567100525,0.32493218779563904,1.4480916261672971,-1.3144372701644897,1.2175652980804443,1.715148210525512,-0.7375246286392212,5.4123215675354,2.0064008235931388,-0.7193623185157776
877,0.9498890042304993,-1.6084355115890498,-1.417915940284729,1.0763648748397827,-1.6724879741668701,-1.7391724586486816,1.5978922843933108,-1.1372495889663696,-1.788557767868042,6.880782127380371,-1.3440574407577515,-1.7119145393371582
878,0.8055441975593567,1.2576727867126465,1.2573450803756714,1.0559192895889282,1.0299130678176878,1.0172796249389648,1.3095991611480713,0.9831776022911072,0.6586781740188599,4.262837886810303,0.9271808862686155,0.9396612048149109
879,0.20601476728916168,-0.17726539075374606,-0.617273211479187,1.14592707157135,0.4680087566375732,-2.556722640991211,0.7165520787239076,0.13283059000968936,-2.540090560913086,3.2406344413757324,0.4763309955596924,-2.5288047790527344
880,1.487232685089111,-2.0174372196197514,2.0778207778930664,2.801721334457398,-2.496536731719975,1.9476984739303589,1.0615158081054688,-2.496683597564701,2.2307138442993164,7.129352092742919,-2.4145185947418186,1.9828826189041138
881,0.3276684582233429,1.0495661497116087,-0.8733957409858704,2.1480050086975098,1.6515462398529055,-1.2654556035995483,1.9805291891098022,1.80990707874298,-1.3979243040084839,5.038607120513916,1.6929494142532344,-1.2143635749816895
882,1.9406697750091555,-0.863084852695465,-0.2022656500339508,2.914445400238037,-0.9758467674255373,-0.49423554539680487,5.650335311889648,-0.8066176772117615,-0.2105787992477417,10.992815971374512,-0.8607948422431946,-0.29519176483154297
883,1.500894784927368,-2.2126913070678698,0.057783611118793494,0.347106397151947,-1.4756525754928584,0.01970371045172214,1.0215249061584473,-1.469670414924622,-0.019203172996640205,5.186097145080566,-1.8806737661361694,0.1335355043411255
884,2.0558042526245117,1.2309675216674807,-2.4515302181243896,0.4757603704929351,1.5788778066635134,-3.040360450744629,2.5708959102630615,1.411067485809326,-2.397904396057129,5.0062642097473145,1.376816391944885,-2.4921741485595703
885,0.47587895393371576,-1.6025019884109495,1.4480623006820679,1.1014416217803955,-1.1188684701919556,2.2617433071136475,0.6831274628639221,-1.0976548194885254,2.436022996902466,3.8169796466827393,-1.3184926509857178,1.888967752456665
886,0.20520132780075073,-0.335979402065277,1.485102891921997,1.3962827920913696,0.46152797341346746,0.8630232214927673,1.7352970838546753,0.38224771618843084,0.8540305495262145,3.270985126495361,0.41300275921821583,0.8127844333648682
887,1.0401653051376343,-0.9140027761459353,2.2310705184936523,0.6091311573982239,-0.8221540451049802,1.340781807899475,0.3921184539794922,-0.9398381710052491,1.4468625783920288,4.275416374206543,-0.9719800353050232,1.5436335802078247
888,1.7761515378952026,-0.8319655060768127,2.269951820373535,0.6990743279457091,-1.3734501600265505,2.512561559677124,3.7003531455993652,-1.1454849243164062,2.4826300144195557,8.784906387329102,-1.119323968887329,2.4776015281677246
889,2.385963439941406,-0.005771919153630738,-1.797837734222412,2.46685528755188,-0.02717802859842775,-1.488279104232788,1.3558385372161867,-0.21311083436012257,-1.4418222904205322,7.00515365600586,-0.006466196384280881,-1.5561044216156006
890,2.987950325012207,0.5930211544036866,0.9189807772636414,1.321494698524475,0.709528386592865,1.2573968172073364,1.171543002128601,0.8754988312721254,1.049312710762024,7.844351291656494,0.7663322091102601,1.1032118797302246
891,0.5217493176460266,0.8290160298347472,-1.9934614896774292,0.8056955337524414,1.9413279294967658,-1.1981425285339355,0.8359124064445496,1.7989797592163088,-0.7540034055709838,2.153404712677002,1.8057806491851807,-1.0774502754211426
892,1.1319632530212402,-1.3912488222122192,0.23351241648197174,1.2342716455459595,-1.3154454231262203,-0.0012887278571724892,0.6085479259490967,-0.7490227222442628,0.9467996954917909,3.8872184753417964,-1.4118636846542358,0.2489391714334488
