,gen_pi1_from_antitau_pt,gen_pi1_from_antitau_eta,gen_pi1_from_antitau_phi,gen_pi2_from_antitau_pt,gen_pi2_from_antitau_eta,gen_pi2_from_antitau_phi,gen_pi3_from_antitau_pt,gen_pi3_from_antitau_eta,gen_pi3_from_antitau_phi
1141,0.497274398803711,2.660560131072997,1.7218105792999268,1.3837755918502808,3.0057859420776443,2.209294080734253,0.3081987202167511,2.59807872772217,1.3017476797103882
1142,0.6804114580154419,0.4449562728404999,2.8015542030334473,6.031383514404297,0.4771315157413483,2.671877861022949,0.21831212937831876,-0.22597114741802218,2.931821346282959
1143,0.19431930780410767,-1.4037312269210815,2.129861831665039,1.2670308351516724,-1.049776673316956,2.8062307834625244,2.7094244956970215,-0.9815996289253237,2.484473943710327
1144,1.001017451286316,-0.5737390518188477,-0.2595517039299011,1.0186537504196167,-0.9392827153205873,-0.32274094223976135,2.3511550426483154,-0.56608784198761,-0.4419202506542205
1145,1.2728413343429565,5.461644172670393,-2.0096323490142822,0.25752612948417664,5.713769912722765,-1.8278111219406128,2.373093843460083,5.129026412964017,-2.2073066234588623
1146,0.8466303944587708,0.6487113237380983,-1.9273945093154907,0.14035777747631073,-1.244347095489502,-1.2699872255325317,0.10272233188152313,0.6515406966209412,0.7700600028038025
1147,0.738162338733673,0.002816112944856291,3.0847227573394775,0.26457628607749933,-0.0023754849098622864,-3.1214427947998047,2.602482318878174,-0.5944897532463075,-2.8348867893218994
1148,0.33964899182319636,2.5481286048889142,0.6751341223716736,1.4759798049926758,2.2331173419952384,-0.014463637955486773,1.7927691936492922,2.4857907295227055,-0.3378557562828064
1149,1.413545846939087,-3.196198225021349,-2.7713260650634766,0.5239050984382629,-2.5477473735809366,2.996185064315796,0.3378681540489197,-3.163573026657108,-2.136956214904785
1150,2.031958818435669,-0.01975501142442226,0.3633701503276825,0.32890141010284424,-0.24934968352317813,0.08302588760852815,3.884885549545288,0.21672073006629947,0.360512375831604
1151,0.26715055108070374,0.824285626411438,-1.6139425039291382,1.6214118003845215,0.6294806003570556,-1.7272006273269653,1.9694494009017942,0.24926365911960593,-1.681246280670166
1152,1.1202715635299683,3.3569447994232453,-2.1361119747161865,0.19504410028457642,4.5110583305358425,-2.1946401596069336,3.1714510917663574,3.8061783313750857,-2.430534601211548
1153,0.9269793629646301,-1.4219287633895874,-2.4339640140533447,1.8540635108947754,-1.392143249511719,-2.1122243404388428,0.39510419964790344,-1.313311696052551,-1.1238305568695068
1154,1.82860791683197,1.1711766719818113,2.775501251220703,1.0569621324539185,1.1656962633132932,2.6366636753082275,1.0166847705841064,0.6717950105667113,2.5829954147338867
1155,1.6797657012939455,-3.2487311363220237,0.36458554863929743,0.9370108842849731,-3.0410807132720907,-0.10621760785579681,2.2150542736053467,-3.2208633422851713,0.35488724708557134
1156,0.4072388708591461,-2.3755121231079093,-2.4036314487457275,1.3108234405517578,-2.320955514907839,-2.3054752349853516,0.37251928448677063,-3.338198900222784,-2.243469476699829
1157,0.2195601761341095,2.716684579849246,-2.388165235519409,0.7163029909133911,3.385745048522928,-2.650332450866699,0.48107200860977173,3.632215261459353,-1.4437958002090454
1158,1.2756479978561401,-2.9141838550567627,2.259127140045166,0.35187670588493347,-3.728606700897226,1.5272678136825562,1.6460562944412231,-3.09228849411012,1.6556870937347412
1159,1.143228530883789,-1.961840987205506,-0.6966869831085205,0.6313477754592896,-1.8423933982849112,-0.8991371393203735,2.514890432357788,-1.7567842006683347,-0.343767136335373
1160,3.177661418914795,-0.8669231534004211,0.373928040266037,1.2788032293319702,-0.9030886292457582,0.7684835195541383,0.28067249059677124,-0.9193717241287231,-0.3491014242172241
1161,1.4014194011688232,-0.6271662116050719,1.9294054508209229,3.496586561203003,-0.601045787334442,1.8712230920791626,0.3597064018249512,0.17724542319774628,2.1579935550689697
1162,0.4264124035835266,-2.740979433059687,0.6579521894454956,0.8969273567199708,-2.9633622169494602,1.1516271829605103,0.3563249111175537,-4.149873733520403,0.909093976020813
1163,0.8237056732177734,-2.387301445007325,1.0502630472183228,2.5935449600219727,-2.2425920963287327,0.6760198473930359,0.3716179430484772,-2.9404914379119904,0.1979457288980484
1164,1.159887671470642,-2.6286380290985116,2.2922425270080566,0.26552194356918335,-3.0320680141448886,-2.3912744522094727,0.6778376698493958,-2.6724548339843732,2.05118989944458
1165,2.4743611812591553,-0.6785724759101868,1.08472740650177,1.0144950151443481,-0.9959281682968139,0.8341926336288453,0.6676741242408752,-0.36506432294845587,1.1981847286224365
