,gen_pi1_from_tau_pt,gen_pi1_from_tau_eta,gen_pi1_from_tau_phi,gen_pi2_from_tau_pt,gen_pi2_from_tau_eta,gen_pi2_from_tau_phi,gen_pi3_from_tau_pt,gen_pi3_from_tau_eta,gen_pi3_from_tau_phi
2407,0.24000369012355802,3.2316985130310227,-0.11548823863267899,0.4026136100292206,3.0247373580932497,-0.4188965857028961,0.5332207679748535,1.8593614101409917,-1.1510945558547974
2408,0.2155461609363556,-1.5663262605667108,-2.8806235790252686,1.5136950016021726,-1.4862204790115359,-2.1153454780578613,1.8075536489486697,-1.1144970655441286,-1.8856730461120605
2409,1.0577359199523926,1.486871004104614,2.7209367752075195,0.15824276208877566,0.9637562036514282,1.324676752090454,0.6789519786834717,1.7722361087799068,2.3140742778778076
2410,1.7982206344604494,0.8403003215789796,1.3399198055267334,1.3235059976577759,0.953017234802246,0.9183160662651061,0.2618810832500458,1.0342974662780766,0.6489288806915283
2411,1.9326287508010864,-3.9424719810485853,0.9353511333465575,0.17209823429584503,-3.520086765289327,0.9219558835029603,1.1008260250091553,-3.8142406940460005,0.9317901730537416
2412,0.520828366279602,-2.928621530532834,2.7388088703155518,0.7162920236587523,-2.260041475296022,-2.132850408554077,0.3623422384262085,-3.3344709873199463,-2.1846957206726074
2413,3.4864871501922607,2.1371414661407466,-2.2365028858184814,1.2058008909225464,2.277626752853391,-2.3339433670043945,1.3581844568252563,2.2183699607849134,-1.9056378602981567
2414,1.1922527551651,0.027267752215266196,-1.135669231414795,0.862844228744507,-0.2490496188402176,-1.2061450481414795,0.45820710062980646,0.5743876099586488,-1.7879201173782349
2415,4.656364440917969,1.0774065256118772,1.2195621728897095,3.0146682262420654,1.2186833620071411,1.1839148998260498,1.898825764656067,1.3222520351409912,1.1635122299194336
2416,0.07991611957550049,-2.0957202911376958,-2.8884971141815186,1.705233097076416,-0.7720341682434081,-2.031390428543091,0.7938524484634399,-1.4199403524398804,-2.65168833732605
2417,1.354899525642395,5.463161468505338,-0.345455139875412,0.16127298772335052,6.284580707550261,1.2141388654708862,0.08105450868606567,6.333036422737171,2.9847793579101562
2418,3.4400329589843746,-3.410087823867807,-1.6185322999954224,3.1492090225219727,-3.2512686252594136,-1.7568739652633667,2.903477907180786,-3.588478803634684,-1.7704720497131348
2419,0.2609875500202179,-5.222045898438184,-2.179321765899658,0.697318971157074,-3.6868588924407875,-1.5188220739364624,0.2959578037261963,-3.3389194011688037,-1.3491748571395874
